"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 08:52:18 AM","18##","ALEXIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 11:09:04 AM","16##","FOSTER","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 01:04:06 PM","31##","LOEBACH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 03:54:25 PM","29##","ROBINET","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 06, 2020 09:22:33 AM","7##","MCKAY","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 06, 2020 09:36:17 AM","35##","BLOOMFIELD","WARD 2"," "
"Garbage Not Collected","Environmental Services","Web Intake","JAN 07, 2020 10:20:58 AM"," "," ","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 07, 2020 11:54:59 AM","1##","HANNA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 07, 2020 04:28:24 PM","2##","SHEPHERD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 07, 2020 04:59:56 PM","7##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 06, 2020 08:23:30 AM","6##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 09, 2020 12:25:36 PM","6##","TOURNIER","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 08:11:05 AM","9##","HANNA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 09:39:40 AM","14##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 09:42:44 AM","13##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 09:34:39 AM","23##","CADILLAC","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 10:29:29 AM","8##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 02:48:56 PM","8##","MORAND","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 12, 2020 12:42:37 PM","29##","PRINCESS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAR 02, 2020 10:45:03 AM"," "," ","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 13, 2020 03:51:13 PM","51##","TECUMSEH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 08:36:44 AM","41##","DOUGALL","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 11:12:27 AM"," ","HANNA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 02:08:38 PM","13##","CALVERT","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 03:43:45 PM","14##","HALLMARK","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 20, 2020 02:30:08 PM","70##","CHARLIE BROOKS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 03:52:31 PM","2##","CRAWFORD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 03:50:55 PM","22##","BYNG","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 11:11:56 AM","22##","BETHLEHEM","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 03:01:24 PM","36##","OUELLETTE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 01:41:12 PM","5##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 08:41:17 AM","9##","ELLIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 04:08:54 PM","11##","RANKIN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 04:56:41 PM","7##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 11:00:23 AM","35##","PETER","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 09:46:41 AM","2##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 10, 2020 08:03:46 AM","87##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 02:21:46 PM","10##","LAKEVIEW","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 02:56:43 PM","15##","PROVINCIAL","WARD 9"," "
